QUESTION,ANSWER
"**** [https://www.examtopics.com/discussions/databricks/view/150276-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150276-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is creating an LLM-powered application that will need access to up-to-date news articles and stock prices. The design requires the use of stock prices which are stored in Delta tables and finding the latest relevant news articles by searching the internet. How should the Generative AI Engineer architect their LLM system?

A. Use an LLM to summarize the latest news articles and lookup stock tickers from the summaries to find stock prices.
B. Query the Delta table for volatile stock prices and use an LLM to generate a search query to investigate potential causes of the stock volatility.
C. Download and store news articles and stock price information in a vector store. Use a RAG architecture to retrieve and generate at runtime.
D. Create an agent with tools for SQL querying of Delta tables and web searching, provide retrieved values to an LLM for generation of response.

**","**

D. Create an agent with tools for SQL querying of Delta tables and web searching, provide retrieved values to an LLM for generation of response.

*   **Why this is correct:** Using an agent with specific tools for SQL querying of Delta tables (for stock prices) and web searching (for news articles) allows the LLM to access up-to-date, real-time information. The agent retrieves the values and provides them to the LLM for generating a response. This is more dynamic and accurate than pre-loading data into a vector store.

*   **Why other options are wrong:**
    *   **A:** Summarizing news articles and then looking up stock tickers is an inefficient way to retrieve relevant stock prices. The summarization process may lose crucial information and makes the process unnecessarily complicated.
    *   **B:** Querying for volatile stock prices and then using an LLM to generate search queries is a more specific use case. The initial prompt specified the need for the latest relevant news articles, so this option doesn't fulfill that need entirely.
    *   **C:** Downloading and storing news articles and stock prices in a vector store creates a static snapshot of the data. It would require frequent updates to remain current and may not be as efficient as directly querying the Delta table and web searching for up-to-date information when needed. Also, RAG is already constructed, agent is most effective inside of it."
"[https://www.examtopics.com/discussions/databricks/view/150275-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150275-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is building an LLM to generate article summaries in the form of a type of poem, such as a haiku, given the article content. However, the initial output from the LLM does not match the desired tone or style.

Which approach will NOT improve the LLM’s response to achieve the desired response?

A. Provide the LLM with a prompt that explicitly instructs it to generate text in the desired tone and style
B. Use a neutralizer to normalize the tone and style of the underlying documents
C. Include few-shot examples in the prompt to the LLM
D. Fine-tune the LLM on a dataset of desired tone and style","B. Using a neutralizer to normalize the tone and style of the underlying documents will not improve the LLM's response. This is because the goal is to generate text with a *specific* tone and style (like a haiku). Neutralizing the source documents will strip away the richness of the content, making it *harder* for the LLM to generate creative, stylistic outputs. Options A, C, and D would all help the LLM to learn the desired tone and style."
"[https://www.examtopics.com/discussions/databricks/view/150278-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150278-exam-certified-generative-ai-engineer-associate-topic-1/) A Generative AI Engineer is building a RAG application that will rely on context retrieved from source documents that are currently in PDF format. These PDFs can contain both text and images. They want to develop a solution using the least amount of lines of code. Which Python package should be used to extract the text from the source documents?

A. flask
B. beautifulsoup
C. unstructured
D. numpy","C. unstructured. This package allows you to extract text efficiently while minimizing the amount of code. Options A, B, and D are incorrect because flask is a web framework, beautifulsoup is for parsing HTML and XML, and numpy is for numerical computing, none of which are suited for extracting text from PDFs."
"[ExamTopics URL](https://www.examtopics.com/discussions/databricks/view/150279-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer received the following business requirements for an external chatbot.
The chatbot needs to know what types of questions the user asks and routes to appropriate models to answer the questions. For example, the user might ask about upcoming event details. Another user might ask about purchasing tickets for a particular event.
What is an ideal workflow for such a chatbot?

A. The chatbot should only look at previous event information
B. There should be two different chatbots handling different types of user queries.
C. The chatbot should be implemented as a multi-step LLM workflow. First, identify the type of question asked, then route the question to the appropriate model. If it’s an upcoming event question, send the query to a text-to-SQL model. If it’s about ticket purchasing, the customer should be redirected to a payment platform.
D. The chatbot should only process payments","C. The chatbot should be implemented as a multi-step LLM workflow. First, identify the type of question asked, then route the question to the appropriate model. If it’s an upcoming event question, send the query to a text-to-SQL model. If it’s about ticket purchasing, the customer should be redirected to a payment platform.

**Explanation:**

*   **Why C is correct:** This option provides a structured approach using a multi-step LLM workflow. It addresses the core requirement of understanding the user's question type and directing it to the most suitable model or platform. This is efficient and user-friendly.

*   **Why other options are wrong:**
    *   **A:** Limiting the chatbot to only previous event information doesn't address the full scope of potential user queries, such as purchasing tickets.
    *   **B:** Creating two separate chatbots is less efficient and could lead to a fragmented user experience.  It's better to have a single entry point that routes queries appropriately.
    *   **D:** Focusing only on payment processing ignores other potential user needs, such as event information."
"[https://www.examtopics.com/discussions/databricks/view/150264-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150264-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer wants to build an LLM-based solution to help a restaurant improve its online customer experience with bookings by automatically handling common customer inquiries. The goal of the solution is to minimize escalations to human intervention and phone calls while maintaining a personalized interaction. To design the solution, the Generative AI Engineer needs to define the input data to the LLM and the task it should perform.

Which input/output pair will support their goal?

A. Input: Online chat logs; Output: Group the chat logs by users, followed by summarizing each user’s interactions
B. Input: Online chat logs; Output: Buttons that represent choices for booking details
C. Input: Customer reviews; Output: Classify review sentiment
D. Input: Online chat logs; Output: Cancellation options","B. **Correct:** Providing buttons that represent choices for booking details enables the LLM to guide the customer through common inquiries in a structured, automated way, reducing the need for human intervention.

A. **Incorrect:** Summarizing user interactions might provide insights, but it doesn't directly address the goal of automating customer inquiries and providing immediate responses.
C. **Incorrect:** Classifying review sentiment is valuable for understanding customer feedback, but doesn't directly help automate booking-related inquiries.
D. **Incorrect:** While providing cancellation options is useful, it only addresses one specific type of inquiry and doesn't provide a comprehensive solution for handling various customer needs."
"**** [https://www.examtopics.com/discussions/databricks/view/150268-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150268-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is developing a patient-facing healthcare-focused chatbot. If the patient’s question is not a medical emergency, the chatbot should solicit more information from the patient to pass to the doctor’s office and suggest a few relevant pre-approved medical articles for reading. If the patient’s question is urgent, direct the patient to calling their local emergency services.

Given the following user input:
“I have been experiencing severe headaches and dizziness for the past two days.”

Which response is most appropriate for the chatbot to generate?

A. Here are a few relevant articles for your browsing. Let me know if you have questions after reading them.
B. Please call your local emergency services.
C. Headaches can be tough. Hope you feel better soon!
D. Please provide your age, recent activities, and any other symptoms you have noticed along with your headaches and dizziness.

**","**

B. Please call your local emergency services.

*   **Why this is the correct answer:** The prompt states if a question is urgent, the chatbot should direct the patient to emergency services. Severe headaches and dizziness for two days could indicate a serious medical condition requiring immediate attention.

*   **Why other options are wrong:**
    *   A: Providing articles is only appropriate for non-emergency situations, and the symptoms suggest potential urgency.
    *   C: This is a dismissive and unhelpful response, especially given the potential severity of the symptoms.
    *   D: While gathering more information is generally a good practice, delaying emergency care in this scenario could be dangerous. The chatbot should prioritize immediate medical attention."
"A Generative AI Engineer I using the code below to test setting up a vector store:
![Image](https://img.examtopics.com/certified-generative-ai-engineer-associate/image7.png)
Assuming they intend to use Databricks managed embeddings with the default embedding model, what should be the next logical function call?
A.
vsc.get_index()
B.
vsc.create_delta_sync_index()
C.
vsc.create_direct_access_index()
D.
vsc.similarity_search()
[https://www.examtopics.com/discussions/databricks/view/150263-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150263-exam-certified-generative-ai-engineer-associate-topic-1/)","The correct answer is C. `vsc.create_direct_access_index()`

**Explanation:**

*   `create_direct_access_index()` lets you manually add documents and embeddings, which is ideal for testing and minimal setup. It is appropriate when testing the setup of a vector store using Databricks managed embeddings and the default embedding model, especially if you’re not using a Delta table.

**Why other options are wrong:**

*   **A: `vsc.get_index()`** - This assumes an index already exists, which isn't the case in a new setup.
*   **B: `vsc.create_delta_sync_index()`** - This is used when you already have a Delta table and want your index to automatically sync with it – a better fit for production workflows, not initial testing.
*   **D: `vsc.similarity_search()`** - Similarity search is performed after the index has been created and populated with data."
"[https://www.examtopics.com/discussions/databricks/view/150272-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150272-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer has created a RAG application which can help employees retrieve answers from an internal knowledge base, such as Confluence pages or Google Drive. The prototype application is now working with some positive feedback from internal company testers. Now the Generative Al Engineer wants to formally evaluate the system’s performance and understand where to focus their efforts to further improve the system.
How should the Generative AI Engineer evaluate the system?
A.
Use cosine similarity score to comprehensively evaluate the quality of the final generated answers.
B.
Curate a dataset that can test the retrieval and generation components of the system separately. Use MLflow’s built in evaluation metrics to perform the evaluation on the retrieval and generation components.
C.
Benchmark multiple LLMs with the same data and pick the best LLM for the job.
D.
Use an LLM-as-a-judge to evaluate the quality of the final answers generated.","B. Curating a dataset to test retrieval and generation separately, and using MLflow's built-in evaluation metrics, is the most appropriate approach. By evaluating the retrieval and generation components separately, you can gain a clearer understanding of your system's performance and effectively identify areas for improvement. The other options are wrong because they don't comprehensively and separately evaluate both the retrieval and generation aspects of the RAG system. Cosine similarity (A) only evaluates similarity, benchmarking (C) only focuses on selecting an LLM and LLM-as-a-judge (D) only evaluates the quality of the final answer."
"[https://www.examtopics.com/discussions/databricks/view/150277-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150277-exam-certified-generative-ai-engineer-associate-topic-1/) A Generative AI Engineer is designing a chatbot for a gaming company that aims to engage users on its platform while its users play online video games. Which metric would help them increase user engagement and retention for their platform?

A. Randomness
B. Diversity of responses
C. Lack of relevance
D. Repetition of responses","B. Diversity of responses.

*   **Why B is correct:** A variety of responses can make users more interested in interacting with the chatbot and keep them on the platform longer, thus increasing engagement and retention.
*   **Why the other options are wrong:** Randomness (A) may lead to nonsensical or frustrating interactions. Lack of relevance (C) will certainly disengage users. Repetition of responses (D) will bore users and cause them to abandon the chatbot."
"[https://www.examtopics.com/discussions/databricks/view/150280-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150280-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer is tasked with developing an application that is based on an open source large language model (LLM). They need a foundation LLM with a large context window.

Which model fits this need?

A. DistilBERT
B. MPT-30B
C. Llama2-70B
D. DBRX","The correct answer is D. DBRX is an open-source LLM developed by Databricks that supports a large context window (up to 32K tokens), making it suitable for applications requiring handling long documents or conversations.

*   **Why D is correct:** DBRX is designed with a large context window (up to 32K tokens).
*   **Why A is incorrect:** DistilBERT is a smaller, faster transformer model, but does not have a large context window.
*   **Why B is incorrect:** MPT-30B has an 8k context window, which is smaller than DBRX.
*   **Why C is incorrect:** Llama2-70B has a context window of 4096 tokens, which is smaller than DBRX."
"[ExamTopics URL](https://www.examtopics.com/discussions/databricks/view/152048-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer is tasked with improving the RAG quality by addressing its inflammatory outputs.

Which action would be most effective in mitigating the problem of offensive text outputs?

A. Increase the frequency of upstream data updates
B. Inform the user of the expected RAG behavior
C. Restrict access to the data sources to a limited number of users
D. Curate upstream data properly that includes manual review before it is fed into the RAG system","D. Curate upstream data properly that includes manual review before it is fed into the RAG system.

**Explanation:**

*   **Why D is correct:** Manual review of the upstream data allows for the identification and removal of potentially offensive or inflammatory content *before* it is used to generate responses by the RAG system. This proactive approach directly addresses the root cause of the problem.

*   **Why other options are wrong:**

    *   **A:** Increasing the frequency of data updates might introduce new offensive content or amplify existing issues if the data is not properly curated.
    *   **B:** Informing users about the expected behavior doesn't solve the problem of offensive outputs; it only manages user expectations after the fact.
    *   **C:** Restricting access to data sources doesn't address the quality of the data itself. The problem remains if the data contains offensive material, regardless of how many users have access."
"[ExamTopics URL](https://www.examtopics.com/discussions/databricks/view/152074-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer has developed an LLM application to answer questions about internal company policies. The Generative AI Engineer must ensure that the application doesn’t hallucinate or leak confidential data.

Which approach should NOT be used to mitigate hallucination or confidential data leakage?

A. Add guardrails to filter outputs from the LLM before it is shown to the user
B. Fine-tune the model on your data, hoping it will learn what is appropriate and not
C. Limit the data available based on the user’s access level
D. Use a strong system prompt to ensure the model aligns with your needs.","B. Fine-tuning the model and *hoping* it will learn what is appropriate is the LEAST effective approach. While fine-tuning can be helpful, it doesn't guarantee the elimination of hallucinations or data leaks. There's no certainty the model will learn what's appropriate and what's not, and the fine-tuned data may still contain sensitive information.

*   **Why A is wrong:** Guardrails actively filter the output, providing a direct mechanism to prevent both hallucination and data leakage.
*   **Why C is wrong:** Limiting data access based on user level is a standard security practice that directly reduces the risk of confidential data leakage.
*   **Why D is wrong:** A strong system prompt guides the model's behavior and helps it align with the desired constraints, mitigating hallucination and inappropriate responses."
"****

A Generative Al Engineer is creating an LLM system that will retrieve news articles from the year 1918 and related to a user's query and summarize them. The engineer has noticed that the summaries are generated well but often also include an explanation of how the summary was generated, which is undesirable.

Which change could the Generative Al Engineer perform to mitigate this issue?

A. Split the LLM output by newline characters to truncate away the summarization explanation.
B. Tune the chunk size of news articles or experiment with different embedding models.
C. Revisit their document ingestion logic, ensuring that the news articles are being ingested properly.
D. Provide few shot examples of desired output format to the system and/or user prompt.

[https://www.examtopics.com/discussions/databricks/view/153568-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/153568-exam-certified-generative-ai-engineer-associate-topic-1/)

**","**

D. Providing few-shot examples of the desired output format to the system and/or user prompt is the correct approach.  Few-shot learning directly guides the LLM to produce outputs that conform to a specified format, thus eliminating the unwanted explanation of how the summary was generated.

*   **Why A is wrong:** Splitting the LLM output by newline characters is a brittle and unreliable method. It relies on the explanation always being separated by newline characters, which is not guaranteed. This approach is a hacky fix rather than addressing the underlying issue.
*   **Why B is wrong:** Tuning chunk size and experimenting with embedding models affects the quality of information retrieval and the relevance of the summaries, not the format of the output. It does not directly address the problem of the LLM including explanations.
*   **Why C is wrong:** Document ingestion problems would likely lead to incorrect or incomplete summaries. While important, it does not address the LLM's tendency to explain its summarization process."
"**** [https://www.examtopics.com/discussions/databricks/view/155675-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/155675-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer at an electronics company just deployed a RAG application for customers to ask questions about products that the company carries. However, they received feedback that the RAG response often returns information about an irrelevant product.

What can the engineer do to improve the relevance of the RAG’s response?

A. Assess the quality of the retrieved context
B. Implement caching for frequently asked questions
C. Use a different LLM to improve the generated response
D. Use a different semantic similarity search algorithm

**","**

The correct answer is **D. Use a different semantic similarity search algorithm**.

*   **Why D is correct:** The problem is that the RAG application is retrieving irrelevant information. The semantic similarity search algorithm is responsible for determining which pieces of information are most relevant to the user's query. By changing the algorithm, the engineer can improve the retrieval step and ensure that the RAG application retrieves more relevant information.

*   **Why other options are wrong:**
    *   **A. Assess the quality of the retrieved context:** While assessing the quality can help diagnose the problem, it doesn't directly fix the retrieval of irrelevant context.
    *   **B. Implement caching for frequently asked questions:** Caching addresses performance and speed, not relevance of the retrieved context.
    *   **C. Use a different LLM to improve the generated response:** The issue is with the retrieval of relevant context, not the generation of the response by the LLM."
"[https://www.examtopics.com/discussions/databricks/view/272745-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/272745-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer has been asked to design an LLM-based application that accomplishes the following business objective: answer employee HR questions using HR PDF documentation.

Which set of high level tasks should the Generative AI Engineer's system perform?

A. Calculate averaged embeddings for each HR document, compare embeddings to user query to find the best document. Pass the best document with the user query into an LLM with a large context window to generate a response to the employee.
B. Use an LLM to summarize HR documentation. Provide summaries of documentation and user query into an LLM with a large context window to generate a response to the user.
C. Create an interaction matrix of historical employee questions and HR documentation. Use ALS to factorize the matrix and create embeddings. Calculate the embeddings of new queries and use them to find the best HR documentation. Use an LLM to generate a response to the employee question based upon the documentation retrieved.
D. Split HR documentation into chunks and embed into a vector store. Use the employee question to retrieve best matched chunks of documentation, and use the LLM to generate a response to the employee based upon the documentation retrieved.","D is the correct answer. The best approach is to split the HR documentation into chunks, embed these chunks into a vector store, use the employee's question to retrieve the best-matched chunks, and then use an LLM to generate a response based on the retrieved documentation. This is a standard Retrieval-Augmented Generation (RAG) approach.

*   **Why D is correct:** This option outlines the standard RAG approach, which involves splitting documents into chunks, embedding those chunks into a vector store, retrieving relevant chunks based on the user query, and using an LLM to generate a response. This is a well-established and effective method for question answering over documents.
*   **Why A is incorrect:** Averaging embeddings for each HR document loses granular information. Comparing averaged document embeddings to a query embedding might not accurately identify the most relevant information.
*   **Why B is incorrect:** Summarizing the entire HR documentation first and then feeding the summaries and query into an LLM could lose crucial details and context needed for answering specific questions accurately.
*   **Why C is incorrect:** Creating an interaction matrix and using ALS factorization is overly complex for the initial setup. ALS is useful, as the discussion correctly observes, to improve later iterations of the application after a vetted body of questions/answers exists to train from. This approach is more appropriate when historical employee questions are available and the system needs to learn from past interactions, but it's not the simplest or most efficient for a first design."
"[https://www.examtopics.com/discussions/databricks/view/272735-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/272735-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer would like an LLM to generate formatted JSON from emails. This will require parsing and extracting the following information: order ID, date, and sender email. Here’s a sample email:

![Image](https://img.examtopics.com/certified-generative-ai-engineer-associate/image6.png)

Image Text:
From:[email protected]
Date: April 16, 2024
Subject: Order Confirmation - RE987D

They will need to write a prompt that will extract the relevant information in JSON format with the highest level of output accuracy.

Which prompt will do that?

A. You will receive customer emails and need to extract date, sender email, and order ID. You should return the date, sender email, and order ID information in JSON format.
B. You will receive customer emails and need to extract date, sender email, and order ID. Return the extracted information in JSON format.
Here’s an example: {“date”: “April 16, 2024”, “sender_email”: “[email protected]”, “order_id”: “RE987D”}
C. You will receive customer emails and need to extract date, sender email, and order ID. Return the extracted information in a human-readable format.
D. You will receive customer emails and need to extract date, sender email, and order IReturn the extracted information in JSON format.","B. Option B is correct because it provides an example of the desired JSON output format, which helps the LLM understand the expected structure and increases accuracy. Options A and D are incorrect because they don't provide a clear example of the JSON output format that the model needs to follow. Option C is incorrect because it asks for a human-readable format instead of JSON."
"[https://www.examtopics.com/discussions/databricks/view/272752-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/272752-exam-certified-generative-ai-engineer-associate-topic-1/) A team wants to serve a code generation model as an assistant for their software developers. It should support multiple programming languages. Quality is the primary objective. Which of the Databricks Foundation Model APIs, or models available in the Marketplace, would be the best fit?

A. Llama2-70b
B. BGE-large
C. MPT-7b
D. CodeLlama-34B","D. CodeLlama-34B is the best fit because it's specifically designed for code generation, supports multiple programming languages, and prioritizes quality. The other options are not primarily focused on code generation: Llama2-70b is a general-purpose language model, BGE-large is for text embeddings, and MPT-7b is a general-purpose model that may not prioritize code generation quality."
"[https://www.examtopics.com/discussions/databricks/view/303123-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303123-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is ready to deploy an LLM application written using Foundation Model APIs. They want to follow security best practices for production scenarios.

Which authentication method should they choose?

A. Use OAuth machine-to-machine authentication
B. Use an access token belonging to service principals
C. Use an access token belonging to any workspace user
D. Use a frequently rotated access token belonging to either a workspace user or a service principal","A. Use OAuth machine-to-machine authentication

OAuth machine-to-machine (M2M) is a best-practice authentication mechanism widely used across cloud platforms because it doesn't rely on individual user accounts, making it more secure for production environments. While Databricks Foundation Model APIs might not directly support OAuth M2M flows natively *currently*, the question asks for best practices in production scenarios and does not restrict itself to Databricks Foundation Model being used here.

*   **Why A is correct:** OAuth M2M is the most secure, industry-standard approach for application authentication.
*   **Why B is wrong:** Access tokens belonging to service principals, while better than user tokens, are still less secure than OAuth M2M.
*   **Why C is wrong:** Using access tokens belonging to any workspace user is highly insecure, as it ties the application's access to an individual's account.
*   **Why D is wrong:** Rotating access tokens helps, but it's still less secure than using OAuth M2M, and doesn't address the fundamental issue of tying access to a user or service principal token."
"[https://www.examtopics.com/discussions/databricks/view/303238-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303238-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer has just deployed an LLM application at a manufacturing company that assists with answering customer service inquiries. They need to identify the key enterprise metrics to monitor the application in production.

Which is NOT a metric they will implement for their customer service LLM application in production?

A. Massive Multi-task Language Understanding (MMLU) score
B. Number of customer inquiries processed per unit of time
C. Factual accuracy of the response
D. Time taken for LLM to generate a response","A. MMLU score. MMLU is a benchmarking score used during LLM pre-training and evaluation, not something you’d monitor in a deployed, real-world production setting. Options B, C, and D are relevant metrics for monitoring a production LLM application."
"[https://www.examtopics.com/discussions/databricks/view/303249-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303249-exam-certified-generative-ai-engineer-associate-topic-1/) A Generative AI Engineer has created a RAG application which can help employees interpret HR documentation. The prototype application is now working with some positive feedback from internal company testers. Now the Generative AI Engineer wants to formally evaluate the system’s performance and understand where to focus their efforts to further improve the system. How should the Generative AI Engineer evaluate the system?

A. Use ROUGE score to comprehensively evaluate the quality of the final generated answers.
B. Use an LLM-as-a-judge to evaluate the quality of the final answers generated.
C. Curate a dataset that can test the retrieval and generation components of the system separately. Use MLflow’s built in evaluation metrics to perform the evaluation on the retrieval and generation components.
D. Benchmark multiple LLMs with the same data and pick the best LLM for the job.","C. Curating a dataset to test retrieval and generation components separately, using MLflow's evaluation metrics, is the best approach. This isolates variables, enabling a methodical debugging and optimization process for the RAG system. Options A, B, and D do not offer this modular and scientific approach to debugging and optimizing the RAG system by isolating variables and evaluating each part methodically."
"[https://www.examtopics.com/discussions/databricks/view/303262-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303262-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is building a production-ready LLM system which replies directly to customers. The solution makes use of the Foundation Model API via provisioned throughput. They are concerned that the LLM could potentially respond in a toxic or otherwise unsafe way. They also wish to perform this with the least amount of effort.

Which approach will do this?

A. Ask users to report unsafe responses
B. Host Llama Guard on Foundation Model API and use it to detect unsafe responses.
C. Add some LLM calls to their chain to detect unsafe content before returning text
D. Add a regex expression on inputs and outputs to detect unsafe responses.","B. Host Llama Guard on Foundation Model API and use it to detect unsafe responses.

By enabling Databricks’ built-in Llama Guard directly on your Foundation Model API endpoint, you get out-of-the-box toxicity and safety checks with zero changes to your application code. The guard runs before responses are returned, blocking or redacting unsafe content according to its policy. This approach requires the least effort compared to adding custom detection calls or regex rules, and is far more proactive than relying on user reports."
"[https://www.examtopics.com/discussions/databricks/view/303261-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303261-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is developing a RAG system for their company to perform internal document Q&A for structured HR policies, but the answers returned are frequently incomplete and unstructured. It seems that the retriever is not returning all relevant context. The Generative AI Engineer has experimented with different embedding and response generating LLMs but that did not improve results.

Which TWO options could be used to improve the response quality? (Choose two.)

A. Add the section header as a prefix to chunks
B. Split the document by sentence
C. Use a larger embedding model
D. Increase the document chunk size
E. Fine tune the response generation model","The correct answers are A and D.

*   **A: Add the section header as a prefix to chunks:** Including section headers provides additional context and semantic signals to the retriever, improving its ability to match queries to the relevant policy area within structured documents.

*   **D: Increase the document chunk size:** Larger chunk sizes allow each chunk to contain more contiguous context. This helps the retriever return more complete sections, especially when key details might otherwise be split across multiple smaller chunks.

**Why other options are wrong:**

*   **B: Split the document by sentence:** Splitting by sentence could lead to chunks that lack sufficient context, further fragmenting the information and hindering retrieval.
*   **C: Use a larger embedding model:** The engineer has already experimented with different embedding LLMs, indirectly addressing model size, without resolving the issue of missing context.
*   **E: Fine tune the response generation model:** While tuning generation can improve formatting and coherence, it does not address the core problem of the retriever failing to provide complete relevant context."
"****

[https://www.examtopics.com/discussions/databricks/view/303264-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303264-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is using an LLM to classify species of edible mushrooms based on text descriptions of certain features. The model is returning accurate responses in testing and the Generative AI Engineer is confident they have the correct list of possible labels, but the output frequently contains additional reasoning in the answer when the Generative AI Engineer only wants to return the label with no additional text.

Which action should they take to elicit the desired behavior from this LLM?

A. Use few shot prompting to instruct the model on expected output format
B. Use zero shot prompting to instruct the model on expected output format
C. Use zero shot chain-of-thought prompting to prevent a verbose output format
D. Use a system prompt to instruct the model to be succinct in its answer

**","**

A. Use few shot prompting to instruct the model on expected output format.

Few-shot prompting provides the model with several examples of input descriptions paired with the desired output format (just the mushroom label). This demonstrates the exact format needed and is more reliable than zero-shot instructions or a generic system message. Options B, C and D are wrong because, by providing a small number of examples that show exactly how you want the model to respond, you teach the LLM the desired output pattern, which tends to be more reliable than a single zero-shot instruction or a generic “be succinct” system message, because the model sees concrete input-output pairs demonstrating the exact format you need."
"**** [https://www.examtopics.com/discussions/databricks/view/303266-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303266-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is building a RAG application that answers questions about technology-related news articles. The source documents may contain a significant amount of irrelevant content, such as advertisements, sports news, or entertainment news.

Which approach is NOT advisable for building a RAG application focused on answering technology-only questions?

A. Include in the system prompt that the application is not supposed to answer any questions unrelated to technology.
B. Filter out irrelevant news articles in the retrieval process.
C. Keep all news articles because the RAG application needs to understand non-technological content to avoid answering questions about them.
D. Filter out irrelevant news articles in the upstream document database.

**","**

C. **Keeping all news articles because the RAG application needs to understand non-technological content to avoid answering questions about them is NOT advisable.**

*   **Why C is correct:** The RAG application is focused on technology-related questions. Keeping irrelevant news articles (advertisements, sports, entertainment) introduces noise and degrades performance. The application does not need to understand non-technological content to avoid answering questions about them; filtering is the better approach. This follows the principle of ""garbage in, garbage out"".

*   **Why other options are wrong:**
    *   A: Including instructions in the system prompt to avoid non-technology questions is a valid approach to guide the application's behavior.
    *   B: Filtering out irrelevant articles during retrieval is effective in reducing noise and improving relevance.
    *   D: Filtering irrelevant articles in the document database is an excellent upstream approach to ensure that only relevant information is stored and used."
"[https://www.examtopics.com/discussions/databricks/view/303269-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/303269-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is working with a retail company that wants to enhance its customer experience by automatically handling common customer inquiries. They are working on an LLM-powered AI solution that should improve response times while maintaining a personalized interaction. They want to define the appropriate input and LLM task to do this.

Which input/output pair will do this?

A. Input: Customer service chat logs; Output: Group the chat logs by users, followed by summarizing each user’s interactions, then respond
B. Input: Customer service chat logs; Output: Find the answers to similar questions and respond with a summary
C. Input: Customer reviews; Output: Classify review sentiment
D. Input: Customer reviews; Output: Group the reviews by users and aggregate per-user average rating, then respond","A is correct.

**Explanation:**

*   **Why A is correct:** Option A directly addresses the company's goals by enabling both faster and more personalized customer support. Grouping chat logs by users and summarizing interactions allows for personalized responses.

*   **Why other options are incorrect:**
    *   B lacks the personalization aspect.
    *   C and D focus on reviews instead of support interactions.
    *   Additionally, C and D do not group by user, which is critical for personalized service."
